Channel	AMBG	RampGain	InputVoltage	ADCvalue
Hrefy	0	2	0.47	410
Hrefy	0	3	0.47	417
Hrefy	0	4	0.47	429
Hrefy	0	5	0.47	436
Hrefy	0	6	0.47	443
Hrefy	0	7	0.47	450
Hrefy	0	8	0.47	462
Hrefy	0	9	0.47	469
Hrefy	0	10	0.47	477
Hrefy	0	11	0.47	484
Hrefy	0	12	0.47	495
Hrefy	0	13	0.47	502
Hrefy	0	14	0.47	509
Hrefy	0	15	0.47	515
Hrefy	0	0	0.48	403
Hrefy	0	1	0.48	411
Hrefy	0	2	0.48	419
Hrefy	0	3	0.48	426
Hrefy	0	4	0.48	438
Hrefy	0	5	0.48	445
Hrefy	0	6	0.48	452
Hrefy	0	7	0.48	459
Hrefy	0	8	0.48	471
Hrefy	0	9	0.48	479
Hrefy	0	10	0.48	487
Hrefy	0	11	0.48	494
Hrefy	0	12	0.48	505
Hrefy	0	13	0.48	512
Hrefy	0	14	0.48	519
Hrefy	0	15	0.48	526
Hrefy	0	0	0.49	411
Hrefy	0	1	0.49	419
Hrefy	0	2	0.49	427
Hrefy	0	3	0.49	434
Hrefy	0	4	0.49	446
Hrefy	0	5	0.49	454
Hrefy	0	6	0.49	462
Hrefy	0	7	0.49	468
Hrefy	0	8	0.49	481
Hrefy	0	9	0.49	489
Hrefy	0	10	0.49	497
Hrefy	0	11	0.49	504
Hrefy	0	12	0.49	515
Hrefy	0	13	0.49	522
Hrefy	0	14	0.49	530
Hrefy	0	15	0.49	536
Hrefy	0	0	0.5	419
Hrefy	0	1	0.5	427
Hrefy	0	2	0.5	436
Hrefy	0	3	0.5	443
Hrefy	0	4	0.5	455
Hrefy	0	5	0.5	463
Hrefy	0	6	0.5	470
Hrefy	0	7	0.5	477
Hrefy	0	8	0.5	490
Hrefy	0	9	0.5	498
Hrefy	0	10	0.5	507
Hrefy	0	11	0.5	514
Hrefy	0	12	0.5	526
Hrefy	0	13	0.5	533
Hrefy	0	14	0.5	540
Hrefy	0	15	0.5	546
Hrefy	0	0	0.51	427
Hrefy	0	1	0.51	435
Hrefy	0	2	0.51	444
Hrefy	0	3	0.51	452
Hrefy	0	4	0.51	464
Hrefy	0	5	0.51	472
Hrefy	0	6	0.51	480
Hrefy	0	7	0.51	486
Hrefy	0	8	0.51	500
Hrefy	0	9	0.51	508
Hrefy	0	10	0.51	517
Hrefy	0	11	0.51	524
Hrefy	0	12	0.51	536
Hrefy	0	13	0.51	543
Hrefy	0	14	0.51	551
Hrefy	0	15	0.51	557
Hrefy	0	0	0.52	435
Hrefy	0	1	0.52	443
Hrefy	0	2	0.52	452
Hrefy	0	3	0.52	460
Hrefy	0	4	0.52	473
Hrefy	0	5	0.52	481
Hrefy	0	6	0.52	489
Hrefy	0	7	0.52	495
Hrefy	0	8	0.52	509
Hrefy	0	9	0.52	518
Hrefy	0	10	0.52	526
Hrefy	0	11	0.52	534
Hrefy	0	12	0.52	546
Hrefy	0	13	0.52	553
Hrefy	0	14	0.52	561
Hrefy	0	15	0.52	568
Hrefy	0	0	0.53	443
Hrefy	0	1	0.53	452
Hrefy	0	2	0.53	461
Hrefy	0	3	0.53	469
Hrefy	0	4	0.53	481
Hrefy	0	5	0.53	489
Hrefy	0	6	0.53	498
Hrefy	0	7	0.53	505
Hrefy	0	8	0.53	519
Hrefy	0	9	0.53	527
Hrefy	0	10	0.53	536
Hrefy	0	11	0.53	544
Hrefy	0	12	0.53	556
Hrefy	0	13	0.53	564
Hrefy	0	14	0.53	572
Hrefy	0	15	0.53	578
Hrefy	0	0	0.54	451
Hrefy	0	1	0.54	460
